9×8 DataFrame
 Row │ parameters  mean       std       naive_se    mcse        ess      rhat     ess_per_sec
     │ Symbol      Float64    Float64   Float64     Float64     Float64  Float64  Float64
─────┼────────────────────────────────────────────────────────────────────────────────────────
   1 │ α            70.7684   5.48791   0.0613567   0.177144    1036.9   1.0082       27.5506
   2 │ β[1]          3.21779  1.24011   0.0138648   0.0183512   3902.97  1.00073     103.703
   3 │ β[2]        -11.628    1.28267   0.0143407   0.0191741   3753.33  1.00012      99.7271
   4 │ β[3]          7.13598  1.25794   0.0140641   0.0188506   4028.54  1.00032     107.04
   5 │ β[4]          1.19319  1.25332   0.0140125   0.0188195   3810.19  1.00096     101.238
   6 │ σ             6.00727  0.273516  0.00305801  0.00341672  5640.23  1.00037     149.863
   7 │ τ             6.65784  7.6016    0.0849884   0.21169     1402.58  1.00412      37.267
   8 │ αⱼ[1]        -3.49322  5.38098   0.0601612   0.175903    1023.59  1.00857      27.197
   9 │ αⱼ[2]         3.68118  5.38234   0.0601764   0.175645    1028.1   1.00854      27.317
