15×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess       rhat      ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64   Float64   Float64
─────┼───────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           70.4457     7.54367   0.0843408   0.168581    1422.27   1.00145       7.90873
   2 │ σ            5.88023    0.258276  0.00288761  0.00290252  7933.77   1.00046      44.1169
   3 │ τₐ           6.48589    6.79739   0.0759971   0.190206    1675.39   1.00333       9.31628
   4 │ τᵦ[1]        6.17748    5.27152   0.0589373   0.15003     1381.08   1.00398       7.67971
   5 │ τᵦ[2]        6.3886     5.41904   0.0605867   0.150542    1282.92   1.00359       7.13389
   6 │ αⱼ[1]       -3.25045    5.64181   0.0630774   0.137273     990.726  1.00117       5.50908
   7 │ αⱼ[2]        3.92342    5.63955   0.063052    0.137561     979.702  1.00115       5.44778
   8 │ βⱼ[1,1]      0.271351   0.808807  0.00904274  0.0138439   4288.83   1.00104      23.8487
   9 │ βⱼ[2,1]     -0.888729   1.04732   0.0117094   0.0244363   2088.32   1.00196      11.6124
  10 │ βⱼ[3,1]      0.552008   0.894551  0.0100014   0.0176826   2518.93   1.00101      14.0069
  11 │ βⱼ[4,1]      0.0926366  0.797148  0.00891238  0.0118159   4478.14   1.0005       24.9014
  12 │ βⱼ[1,2]      0.247501   0.801304  0.00895885  0.0107671   4863.67   1.00066      27.0452
  13 │ βⱼ[2,2]     -0.906415   1.03314   0.0115508   0.022167    2114.98   1.00132      11.7606
  14 │ βⱼ[3,2]      0.548591   0.875582  0.0097893   0.0141286   2952.3    1.00186      16.4167
  15 │ βⱼ[4,2]      0.0995871  0.762932  0.00852984  0.00972179  5563.58   0.999855     30.9372
